GENESIS-Tabelle: 2000S-1009
Personen: Migrationshintergrund;;;;
Bevölkerung: Bildung, Erwerb, Migration;;;;
Personen (Anzahl);;;;
09.05.2011;;;;
;;Migrationshintergrund;Migrationshintergrund;Migrationshintergrund
;;Insgesamt;Personen ohne Migrationshintergrund;Personen mit Migrationshintergrund
01;Schleswig-Holstein;2781010;2446600;334410
02;Hamburg;1693120;1213940;479180
03;Niedersachsen;7723680;6431810;1291860
04;Bremen;646980;475840;171140
05;Nordrhein-Westfalen;17436030;13172660;4263370
06;Hessen;5946070;4431420;1514650
07;Rheinland-Pfalz;3969400;3211720;757690
08;Baden-Württemberg;10410990;7737650;2673340
09;Bayern;12308230;9955300;2352930
10;Saarland;993500;831130;162380
11;Berlin;3269260;2482350;786910
12;Brandenburg;2439110;2327770;111340
13;Mecklenburg-Vorpommern;1585740;1525290;60450
14;Sachsen;4008600;3832690;175910
15;Sachsen-Anhalt;2267600;2182440;85170
16;Thüringen;2173030;2096290;76740
__________
© Statistische Ämter des Bundes und der Länder, Deutschland, 2021. Lizenziert unter der Datenlizenz Deutschland - Namensnennung - Version 2.0
Stand: 04.11.2021 / 11:25:49
